Province,horizon,quantile,percentile,score_value
ANTANANARIVO,6h,0.0,0.0,0.0049984226105927
ANTANANARIVO,6h,0.01,1.0,0.00519381975441488
ANTANANARIVO,6h,0.02,2.0,0.005252798407748
ANTANANARIVO,6h,0.03,3.0,0.0053148200295833
ANTANANARIVO,6h,0.04,4.0,0.0053501573170962
ANTANANARIVO,6h,0.05,5.0,0.0053923216773105
ANTANANARIVO,6h,0.06,6.0,0.00549109167346586
ANTANANARIVO,6h,0.07,7.000000000000001,0.00560738298909804
ANTANANARIVO,6h,0.08,8.0,0.00569494703925302
ANTANANARIVO,6h,0.09,9.0,0.0058019146896207
ANTANANARIVO,6h,0.1,10.0,0.0058209470105435
ANTANANARIVO,6h,0.11,11.0,0.0058546377760015
ANTANANARIVO,6h,0.12,12.0,0.0058920095233981
ANTANANARIVO,6h,0.13,13.0,0.0059149877454161
ANTANANARIVO,6h,0.14,14.000000000000002,0.0059401048845606
ANTANANARIVO,6h,0.15,15.0,0.0059435738259456
ANTANANARIVO,6h,0.16,16.0,0.0059815591549913
ANTANANARIVO,6h,0.17,17.0,0.0060064988196688
ANTANANARIVO,6h,0.18,18.0,0.0060277943188466
ANTANANARIVO,6h,0.19,19.0,0.0060337156681497
ANTANANARIVO,6h,0.2,20.0,0.0060730487402965
ANTANANARIVO,6h,0.21,21.0,0.0061066472506962
ANTANANARIVO,6h,0.22,22.0,0.0061402281571326
ANTANANARIVO,6h,0.23,23.0,0.0061656667644937
ANTANANARIVO,6h,0.24,24.0,0.006201301029286
ANTANANARIVO,6h,0.25,25.0,0.0063240870477317
ANTANANARIVO,6h,0.26,26.0,0.0063883209572064
ANTANANARIVO,6h,0.27,27.0,0.00646206267982856
ANTANANARIVO,6h,0.28,28.000000000000004,0.0064821697364421
ANTANANARIVO,6h,0.29,28.999999999999996,0.0065011728471811
ANTANANARIVO,6h,0.3,30.0,0.0065217363071637
ANTANANARIVO,6h,0.31,31.0,0.0065933415349329
ANTANANARIVO,6h,0.32,32.0,0.0067413668931347
ANTANANARIVO,6h,0.33,33.0,0.006926300127853921
ANTANANARIVO,6h,0.34,34.0,0.007103443321695541
ANTANANARIVO,6h,0.35000000000000003,35.0,0.007462880161460701
ANTANANARIVO,6h,0.36,36.0,0.00768765229688538
ANTANANARIVO,6h,0.37,37.0,0.0079713448023506
ANTANANARIVO,6h,0.38,38.0,0.0081312063032795
ANTANANARIVO,6h,0.39,39.0,0.0081996771977127
ANTANANARIVO,6h,0.4,40.0,0.0082768232809095
ANTANANARIVO,6h,0.41000000000000003,41.0,0.008345972110177461
ANTANANARIVO,6h,0.42,42.0,0.0085583414217618
ANTANANARIVO,6h,0.43,43.0,0.0087442553655988
ANTANANARIVO,6h,0.44,44.0,0.0089573862721575
ANTANANARIVO,6h,0.45,45.0,0.0090896290906048
ANTANANARIVO,6h,0.46,46.0,0.0091882263117159
ANTANANARIVO,6h,0.47000000000000003,47.0,0.0094010440026662
ANTANANARIVO,6h,0.48,48.0,0.0095053753089238
ANTANANARIVO,6h,0.49,49.0,0.00971457206210024
ANTANANARIVO,6h,0.5,50.0,0.0099473561817115
ANTANANARIVO,6h,0.51,51.0,0.010447667812607702
ANTANANARIVO,6h,0.52,52.0,0.011007574659605014
ANTANANARIVO,6h,0.53,53.0,0.0120722969824134
ANTANANARIVO,6h,0.54,54.0,0.0125509492751587
ANTANANARIVO,6h,0.55,55.00000000000001,0.0130697204143121
ANTANANARIVO,6h,0.56,56.00000000000001,0.013575581784297802
ANTANANARIVO,6h,0.5700000000000001,57.00000000000001,0.014037281787998464
ANTANANARIVO,6h,0.58,57.99999999999999,0.014672598370773676
ANTANANARIVO,6h,0.59,59.0,0.015202238804758078
ANTANANARIVO,6h,0.6,60.0,0.0157262767173081
ANTANANARIVO,6h,0.61,61.0,0.016414727802940697
ANTANANARIVO,6h,0.62,62.0,0.016921496951277
ANTANANARIVO,6h,0.63,63.0,0.017468628879336385
ANTANANARIVO,6h,0.64,64.0,0.0179968981547795
ANTANANARIVO,6h,0.65,65.0,0.0184779755504352
ANTANANARIVO,6h,0.66,66.0,0.01917213005629862
ANTANANARIVO,6h,0.67,67.0,0.019778437437681463
ANTANANARIVO,6h,0.68,68.0,0.020677496317236446
ANTANANARIVO,6h,0.6900000000000001,69.0,0.0215911362746545
ANTANANARIVO,6h,0.7000000000000001,70.0,0.0223616294152466
ANTANANARIVO,6h,0.71,71.0,0.023137136076344954
ANTANANARIVO,6h,0.72,72.0,0.0247183411384363
ANTANANARIVO,6h,0.73,73.0,0.026261101363239
ANTANANARIVO,6h,0.74,74.0,0.0274704224968185
ANTANANARIVO,6h,0.75,75.0,0.0291687888278899
ANTANANARIVO,6h,0.76,76.0,0.03109806550349808
ANTANANARIVO,6h,0.77,77.0,0.03322719694151442
ANTANANARIVO,6h,0.78,78.0,0.035905002892244256
ANTANANARIVO,6h,0.79,79.0,0.04001984885261366
ANTANANARIVO,6h,0.8,80.0,0.0442094961124834
ANTANANARIVO,6h,0.81,81.0,0.0467742921722475
ANTANANARIVO,6h,0.8200000000000001,82.0,0.04960283325954515
ANTANANARIVO,6h,0.8300000000000001,83.0,0.0522578181054591
ANTANANARIVO,6h,0.84,84.0,0.058732233595090756
ANTANANARIVO,6h,0.85,85.0,0.0656326657369822
ANTANANARIVO,6h,0.86,86.0,0.07295498132138813
ANTANANARIVO,6h,0.87,87.0,0.08493053050721448
ANTANANARIVO,6h,0.88,88.0,0.09671394551439914
ANTANANARIVO,6h,0.89,89.0,0.1074180723729648
ANTANANARIVO,6h,0.9,90.0,0.1202110274949584
ANTANANARIVO,6h,0.91,91.0,0.13635388292411782
ANTANANARIVO,6h,0.92,92.0,0.15374959797359763
ANTANANARIVO,6h,0.93,93.0,0.18305418525131176
ANTANANARIVO,6h,0.9400000000000001,94.0,0.22053500402313836
ANTANANARIVO,6h,0.9500000000000001,95.0,0.3103813101107038
ANTANANARIVO,6h,0.96,96.0,0.38819621828184925
ANTANANARIVO,6h,0.97,97.0,0.45261718419218133
ANTANANARIVO,6h,0.98,98.0,0.5310975737558848
ANTANANARIVO,6h,0.99,99.0,0.637585771191958
ANTANANARIVO,6h,1.0,100.0,0.9719772980557388
ANTANANARIVO,24h,0.0,0.0,0.0020548343054105
ANTANANARIVO,24h,0.01,1.0,0.00709979922523284
ANTANANARIVO,24h,0.02,2.0,0.008851490865764
ANTANANARIVO,24h,0.03,3.0,0.01005600261633724
ANTANANARIVO,24h,0.04,4.0,0.01078366977189294
ANTANANARIVO,24h,0.05,5.0,0.0112680687604062
ANTANANARIVO,24h,0.06,6.0,0.0118656029780097
ANTANANARIVO,24h,0.07,7.000000000000001,0.01260409374716804
ANTANANARIVO,24h,0.08,8.0,0.013671241896204861
ANTANANARIVO,24h,0.09,9.0,0.0147403795334377
ANTANANARIVO,24h,0.1,10.0,0.0156111802345059
ANTANANARIVO,24h,0.11,11.0,0.01647726942080116
ANTANANARIVO,24h,0.12,12.0,0.01728068400729466
ANTANANARIVO,24h,0.13,13.0,0.01780056051720492
ANTANANARIVO,24h,0.14,14.000000000000002,0.018310375646235482
ANTANANARIVO,24h,0.15,15.0,0.0190260628768696
ANTANANARIVO,24h,0.16,16.0,0.019632841847447582
ANTANANARIVO,24h,0.17,17.0,0.019953752779504
ANTANANARIVO,24h,0.18,18.0,0.020528554389975882
ANTANANARIVO,24h,0.19,19.0,0.0210348338605851
ANTANANARIVO,24h,0.2,20.0,0.0214318633860776
ANTANANARIVO,24h,0.21,21.0,0.02191269962010176
ANTANANARIVO,24h,0.22,22.0,0.02246369424737262
ANTANANARIVO,24h,0.23,23.0,0.0229004511809396
ANTANANARIVO,24h,0.24,24.0,0.0234739238163202
ANTANANARIVO,24h,0.25,25.0,0.0242132993619632
ANTANANARIVO,24h,0.26,26.0,0.024799587827313136
ANTANANARIVO,24h,0.27,27.0,0.025636399859264362
ANTANANARIVO,24h,0.28,28.000000000000004,0.026292765781073122
ANTANANARIVO,24h,0.29,28.999999999999996,0.027082709404914897
ANTANANARIVO,24h,0.3,30.0,0.027806880757553
ANTANANARIVO,24h,0.31,31.0,0.028551693785106597
ANTANANARIVO,24h,0.32,32.0,0.029345547388269343
ANTANANARIVO,24h,0.33,33.0,0.030471606177721402
ANTANANARIVO,24h,0.34,34.0,0.03163599646243688
ANTANANARIVO,24h,0.35000000000000003,35.0,0.03292677180661141
ANTANANARIVO,24h,0.36,36.0,0.03452021182872712
ANTANANARIVO,24h,0.37,37.0,0.03617427603844482
ANTANANARIVO,24h,0.38,38.0,0.038065573165357004
ANTANANARIVO,24h,0.39,39.0,0.04094857473215156
ANTANANARIVO,24h,0.4,40.0,0.0441823720560692
ANTANANARIVO,24h,0.41000000000000003,41.0,0.0483787997685058
ANTANANARIVO,24h,0.42,42.0,0.0537427377115938
ANTANANARIVO,24h,0.43,43.0,0.06003228854620003
ANTANANARIVO,24h,0.44,44.0,0.06387918437666334
ANTANANARIVO,24h,0.45,45.0,0.0690947504407827
ANTANANARIVO,24h,0.46,46.0,0.07544779447880853
ANTANANARIVO,24h,0.47000000000000003,47.0,0.08319178809988755
ANTANANARIVO,24h,0.48,48.0,0.09634059939348182
ANTANANARIVO,24h,0.49,49.0,0.10663655208592705
ANTANANARIVO,24h,0.5,50.0,0.1190786966427606
ANTANANARIVO,24h,0.51,51.0,0.1355159246322671
ANTANANARIVO,24h,0.52,52.0,0.15607889198152106
ANTANANARIVO,24h,0.53,53.0,0.17149784680009172
ANTANANARIVO,24h,0.54,54.0,0.18547129700344409
ANTANANARIVO,24h,0.55,55.00000000000001,0.199298101652398
